product_id,product_name,category,sub_category,total_orders,total_units,total_sales,total_profit,profit_margin_pct,total_shipping_cost,shipping_cost_pct,avg_shipping_days
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,2,3,159.12,60.39,37.95,10.14,6.37,6.00
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,3,7,350.07,3.36,0.96,22.90,6.54,4.33
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,8,31,974.83,-651.74,-66.86,100.02,10.26,4.13
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,5,7,124.95,4.20,3.36,16.53,13.23,4.40
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,1,2,222.36,104.46,46.98,32.71,14.71,0.00
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,8,20,2194.80,702.00,31.98,273.41,12.46,4.00
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,2,4,205.80,24.60,11.95,33.17,16.12,4.50
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,5,11,290.73,81.18,27.92,56.50,19.43,4.00
FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,2,3,177.79,-88.97,-50.04,15.06,8.47,5.00
FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,7,22,959.14,176.38,18.39,78.05,8.14,3.29
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,6,10,147.06,16.86,11.46,21.08,14.33,2.67
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,4,4,89.66,12.62,14.08,9.89,11.03,5.25
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,1,1,7.48,-9.53,-127.41,0.05,0.67,4.00
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,5,11,495.36,200.01,40.38,31.80,6.42,4.20
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,1,2,36.07,-48.71,-135.04,3.28,9.09,4.00
FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,7,19,803.77,-61.49,-7.65,106.71,13.28,4.57
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,5,8,187.20,57.84,30.90,24.26,12.96,3.00
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,4,4,54.19,11.59,21.39,4.47,8.25,4.00
FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,3,5,194.67,-286.68,-147.26,13.72,7.05,4.00
FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,2,2,66.81,-6.21,-9.30,7.18,10.75,3.50
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,10,29,614.08,4.21,0.69,43.40,7.07,4.00
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,3,5,250.05,39.90,15.96,21.21,8.48,4.33
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,5,9,124.81,-20.18,-16.17,12.74,10.21,3.60
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,2,9,392.85,121.77,31.00,53.10,13.52,3.50
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables,1,2,1003.02,30.06,3.00,74.59,7.44,7.00
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,1,1,319.77,121.50,38.00,9.19,2.87,2.00
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,2,7,3360.21,134.40,4.00,288.77,8.59,5.50
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,2,2,212.08,-303.02,-142.88,34.37,16.21,3.50
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,3,23,7371.27,2358.42,31.99,287.62,3.90,5.00
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables,1,4,364.43,-546.73,-150.02,24.39,6.69,6.00
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables,2,2,285.24,-551.52,-193.35,59.03,20.69,4.00
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables,2,9,3075.81,-2460.81,-80.01,436.01,14.18,4.00
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables,2,2,636.60,261.00,41.00,47.44,7.45,4.50
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables,1,4,2058.00,946.68,46.00,393.62,19.13,4.00
FUR-BAR-10004553,"Barricks Training Table, Rectangular",Furniture,Tables,3,3,568.57,-293.81,-51.68,43.57,7.66,5.00
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Furniture,Tables,1,1,518.40,67.38,13.00,61.72,11.91,4.00
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",Furniture,Tables,1,4,2011.92,925.44,46.00,142.47,7.08,4.00
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Furniture,Tables,1,1,531.18,90.30,17.00,75.39,14.19,4.00
FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",Furniture,Tables,1,1,315.75,129.45,41.00,28.79,9.12,5.00
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,1,1,923.76,249.39,27.00,72.12,7.81,2.00
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",Furniture,Tables,1,2,1070.16,321.00,30.00,116.69,10.90,4.00
FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",Furniture,Tables,1,2,984.18,344.46,35.00,36.70,3.73,2.00
FUR-BEV-10002193,"Bevis Round Table, Adjustable Height",Furniture,Tables,1,6,1248.91,-1779.77,-142.51,18.28,1.46,2.00
FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",Furniture,Tables,2,7,942.06,-1107.12,-117.52,138.89,14.74,3.00
